rank,Country,Continent,IQ,pop2022
155,Burundi,Africa,72.09,12889.576
156,Niger,Africa,70.82,26207.977
157,Antigua and Barbuda,North America,70.48,93.763
158,Saint Kitts and Nevis,North America,70.48,47.657
159,Rwanda,Africa,69.95,13776.698
160,Benin,Africa,69.71,13352.864
161,Malawi,Africa,69.7,20405.317
162,El Salvador,North America,69.63,6336.392
163,Botswana,Africa,69.45,2630.296
164,South Africa,Africa,68.87,59893.885
165,Lesotho,Africa,68.87,2305.825
166,Eswatini,Africa,68.87,1201.67
167,Eritrea,Africa,68.77,3684.032
168,Zambia,Africa,68.43,20017.675
169,Ethiopia,Africa,68.42,123379.924
170,Djibouti,Africa,68.41,1120.849
171,Nigeria,Africa,67.76,218541.212
172,Cameroon,Africa,67.76,27914.536
173,Somalia,Africa,67.67,17597.511
174,Morocco,Africa,67.03,37457.971
175,Namibia,Africa,66.19,2567.012
176,Dominica,North America,66.03,72.737
177,Sao Tome and Principe,Africa,65.22,227.38
178,Dem. Rep. Congo,Africa,64.92,99010.212
179,Saint Vincent and the Grenadines,North America,63.42,103.948
180,Congo,Africa,62.97,5970.424
181,Gabon,Africa,62.97,2388.992
182,Yemen,Asia,62.86,33696.614
183,Central African Rep.,Africa,62.55,5579.144
184,Belize,North America,62.55,405.272
185,Honduras,North America,62.16,10432.86
186,Togo,Africa,59.83,8848.699
187,Mali,Africa,59.76,22593.59
188,Mauritania,Africa,59.76,4736.139
189,S. Sudan,Africa,58.61,10913.164
190,Ghana,Africa,58.16,33475.87
191,Côte d'Ivoire,Africa,58.16,28160.542
192,Guinea,Africa,53.48,13859.341
193,Nicaragua,North America,52.69,6948.392
194,Gambia,Africa,52.68,2705.992
195,Cape Verde,Africa,52.5,593.149
196,Guatemala,North America,47.72,17843.908
197,Sierra Leone,Africa,45.07,8605.718
198,Liberia,Africa,45.07,5302.681
199,Nepal,Asia,42.99,30547.58
